date, pm25, pm10, o3, no2, so2, co, aqi
2024/3/27, , , , , , , 67
2024/3/28, , , , , , , 64
2024/3/29, , , , , , , 64
2024/3/30, , , , , , , 61
2024/3/31, , , , , , , 58
2023/10/1, , , , , , , 101
2023/10/2, , , , , , , 91
2023/10/3, , , , , , , 72
2023/10/4, , , , , , , 58
2023/10/5, , , , , , , 58
2023/10/6, , , , , , , 57
2023/10/7, , , , , , , 53
2023/10/8, , , , , , , 61
2023/10/9, , , , , , , 74
2023/10/10, , , , , , , 70
2023/10/11, , , , , , , 56
2023/10/12, , , , , , , 49
2023/10/13, , , , , , , 52
2023/10/14, , , , , , , 55
2023/10/15, , , , , , , 50
2023/10/16, , , , , , , 34
2023/10/17, , , , , , , 58
2023/10/18, , , , , , , 75
2023/10/19, , , , , , , 64
2023/10/20, , , , , , , 59
2023/10/21, , , , , , , 53
2023/10/22, , , , , , , 59
2023/10/23, , , , , , , 48
2023/10/24, , , , , , , 60
2023/10/25, , , , , , , 65
2023/10/26, , , , , , , 56
2023/10/27, , , , , , , 48
2023/10/28, , , , , , , 57
2023/10/29, , , , , , , 44
2023/10/30, , , , , , , 48
2023/10/31, , , , , , , 63
2023/11/1, , , , , , , 62
2023/11/2, , , , , , , 63
2023/11/3, , , , , , , 49
2023/11/4, , , , , , , 56
2023/11/5, , , , , , , 51
2023/11/6, , , , , , , 40
2023/11/7, , , , , , , 48
2023/11/8, , , , , , , 51
2023/11/9, , , , , , , 53
2023/11/10, , , , , , , 51
2023/11/11, , , , , , , 51
2023/11/12, , , , , , , 55
2023/11/13, , , , , , , 58
2023/11/14, , , , , , , 46
2023/11/15, , , , , , , 51
2023/11/16, , , , , , , 51
2023/11/17, , , , , , , 53
2023/11/18, , , , , , , 61
2023/11/19, , , , , , , 40
2023/11/20, , , , , , , 44
2023/11/21, , , , , , , 54
2023/11/22, , , , , , , 52
2023/11/23, , , , , , , 50
2023/11/24, , , , , , , 48
2023/11/25, , , , , , , 42
2023/11/26, , , , , , , 55
2023/11/27, , , , , , , 49
2023/11/28, , , , , , , 54
2023/11/29, , , , , , , 55
2023/11/30, , , , , , , 52
2023/12/1, , , , , , , 53
2023/12/2, , , , , , , 49
2023/12/3, , , , , , , 50
2023/12/4, , , , , , , 48
2023/12/5, , , , , , , 53
2023/12/6, , , , , , , 54
2023/12/7, , , , , , , 55
2023/12/8, , , , , , , 59
2023/12/9, , , , , , , 54
2023/12/10, , , , , , , 59
2023/12/11, , , , , , , 60
2023/12/12, , , , , , , 56
2023/12/13, , , , , , , 57
2023/12/14, , , , , , , 51
2023/12/15, , , , , , , 49
2023/12/16, , , , , , , 47
2023/12/17, , , , , , , 52
2023/12/18, , , , , , , 55
2023/12/19, , , , , , , 55
2023/12/20, , , , , , , 53
2023/12/21, , , , , , , 53
2023/12/22, , , , , , , 57
2023/12/23, , , , , , , 51
2023/12/24, , , , , , , 35
2023/12/25, , , , , , , 39
2023/12/26, , , , , , , 44
2023/12/27, , , , , , , 50
2023/12/28, , , , , , , 50
2023/12/29, , , , , , , 47
2023/12/30, , , , , , , 50
2023/12/31, , , , , , , 56
2023/7/1, , , , , , , 49
2023/7/2, , , , , , , 52
2023/7/3, , , , , , , 64
2023/7/4, , , , , , , 76
2023/7/5, , , , , , , 65
2023/7/6, , , , , , , 54
2023/7/7, , , , , , , 53
2023/7/8, , , , , , , 43
2023/7/9, , , , , , , 23
2023/7/10, , , , , , , 41
2023/7/11, , , , , , , 47
2023/7/12, , , , , , , 48
2023/7/13, , , , , , , 54
2023/7/14, , , , , , , 50
2023/7/15, , , , , , , 52
2023/7/16, , , , , , , 60
2023/7/17, , , , , , , 62
2023/7/18, , , , , , , 63
2023/7/19, , , , , , , 61
2023/7/20, , , , , , , 57
2023/7/21, , , , , , , 60
2023/7/22, , , , , , , 66
2023/7/23, , , , , , , 73
2023/7/24, , , , , , , 67
2023/7/25, , , , , , , 79
2023/7/26, , , , , , , 95
2023/7/27, , , , , , , 89
2023/7/28, , , , , , , 67
2023/7/29, , , , , , , 59
2023/7/30, , , , , , , 60
2023/7/31, , , , , , , 70
2023/8/1, , , , , , , 68
2023/8/2, , , , , , , 65
2023/8/3, , , , , , , 87
2023/8/4, , , , , , , 68
2023/8/5, , , , , , , 66
2023/8/6, , , , , , , 61
2023/8/7, , , , , , , 60
2023/8/8, , , , , , , 63
2023/8/9, , , , , , , 57
2023/8/10, , , , , , , 60
2023/8/11, , , , , , , 45
2023/8/12, , , , , , , 55
2023/8/13, , , , , , , 48
2023/8/14, , , , , , , 27
2023/8/15, , , , , , , 40
2023/8/16, , , , , , , 47
2023/8/17, , , , , , , 44
2023/8/18, , , , , , , 53
2023/8/19, , , , , , , 50
2023/8/20, , , , , , , 44
2023/8/21, , , , , , , 46
2023/8/22, , , , , , , 56
2023/8/23, , , , , , , 69
2023/8/24, , , , , , , 63
2023/8/25, , , , , , , 64
2023/8/26, , , , , , , 56
2023/8/27, , , , , , , 54
2023/8/28, , , , , , , 48
2023/8/29, , , , , , , 54
2023/8/30, , , , , , , 49
